"obj","museum","text","material"
"http://data.silknow.org/object/0b9f7f20-9cc2-30bc-a993-b87d39196c36","http://data.silknow.org/graph/vam","Fragment of red silk, woven in the warp with gold thread and horizontal stripes of red silk.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/0b9f7f20-9cc2-30bc-a993-b87d39196c36","http://data.silknow.org/graph/vam","Textile, silk and gold tissue (tas), Ahmedabad, ca. 1855-1879","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/801f2194-d5da-30db-8a5a-b645a6538423","http://data.silknow.org/graph/vam","Textile, silver striped tissue, Dhaka, ca. 1855","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/801f2194-d5da-30db-8a5a-b645a6538423","http://data.silknow.org/graph/vam","Fragment of silver tissue, silk weft and silver thread warp with narrow stripes of crimson silk.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/6627ab50-c78c-3980-b0fa-5ee3527a0952","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6627ab50-c78c-3980-b0fa-5ee3527a0952","http://data.silknow.org/graph/vam","Textile, white cotton girdle, Madras, ca. 1855.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6627ab50-c78c-3980-b0fa-5ee3527a0952","http://data.silknow.org/graph/vam","Girdle, white cotton with waistband tapering outwards at the ends; applied decoration throughout at the front of the waist and both end panel, of flattened gold thread, gold-wrapped thread, sequins, spangles and red silk in the form of large buta and rows of flower patterns.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/f948a4cd-cb06-3890-9197-0835c14431d9","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/f948a4cd-cb06-3890-9197-0835c14431d9","http://data.silknow.org/graph/vam","Textile, silk scarf embellished with gold, Madras, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/f948a4cd-cb06-3890-9197-0835c14431d9","http://data.silknow.org/graph/vam","Scarf or shawl, fine red silk, woven with lines of a small plant motif in gold-wrapped thread. The end and side borders are attached, the end border is woven with pulled gold thread, has four large buta designs and six rows of rosettes, embellished with pink, green and gold coloured spangles and sequins and gold-wrapped thread.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/1c91f014-8c08-358d-9ea9-1acb130f5776","http://data.silknow.org/graph/vam","Fragment of gold tissue, made up of a gold thread warp and silk thread weft, striped with red silk.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/1c91f014-8c08-358d-9ea9-1acb130f5776","http://data.silknow.org/graph/vam","Textile, woven gold thread and silk thread, Hyderabad, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/9e1d4b0c-761c-3e69-b1e5-697e532ffc45","http://data.silknow.org/graph/vam","Textile, gold tissue, Hyderabad (Deccan), ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/9e1d4b0c-761c-3e69-b1e5-697e532ffc45","http://data.silknow.org/graph/vam","Gold tissue, made up of woven flattened gold thread warp and a silk weft.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/62f4bff4-3529-3ab0-9126-99d58a99f283","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/62f4bff4-3529-3ab0-9126-99d58a99f283","http://data.silknow.org/graph/vam","Textile, scarf, gold tissue, Delhi, ca. 1825-1850","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/62f4bff4-3529-3ab0-9126-99d58a99f283","http://data.silknow.org/graph/vam","Scarf of silver tissue, some embossed, white silk and silver thread in horizontal bands with embossed silver tissue at ends and in the borders, and tinsel fringes.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/c963fb49-008b-3153-bd33-bb2cf44f9d9c","http://data.silknow.org/graph/vam","Fragment of gold tissue, with a gold-coloured silk warp and silk thread weft.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/c963fb49-008b-3153-bd33-bb2cf44f9d9c","http://data.silknow.org/graph/vam","Textile, fragment, woven gold and silk thread, Hyderabad (Deccan), ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/8b929573-08a9-3fa7-9d49-8127d4dd7e9f","http://data.silknow.org/graph/vam","The complete object would have been intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/8b929573-08a9-3fa7-9d49-8127d4dd7e9f","http://data.silknow.org/graph/vam","Textile, gold and silk cloth, Murshidabad, ca. 1855.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/8b929573-08a9-3fa7-9d49-8127d4dd7e9f","http://data.silknow.org/graph/vam","Fragment of cloth, made with gold threads in the weft, yellow silk in the warp.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/d75f3e6f-4362-3d68-8869-4b158e818d6c","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/d75f3e6f-4362-3d68-8869-4b158e818d6c","http://data.silknow.org/graph/vam","Length of russet coloured silk, rolled, with a weft of gold thread, woven in a geometric design.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/d75f3e6f-4362-3d68-8869-4b158e818d6c","http://data.silknow.org/graph/vam","Textile, length of silk with gold thread, India, ca. 1855-1879.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/e977dfa8-5b21-3035-9cfe-ce79912a8c4c","http://data.silknow.org/graph/vam","Fragment of gold tissue, composed of a gold thread warp and gold-coloured silk weft.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/e977dfa8-5b21-3035-9cfe-ce79912a8c4c","http://data.silknow.org/graph/vam","Textile, fragment, woven gold and silk thread, Madras, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/96c532b7-c39b-3520-bbfa-f8867cd74e71","http://data.silknow.org/graph/vam","Probably intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/96c532b7-c39b-3520-bbfa-f8867cd74e71","http://data.silknow.org/graph/vam","Textile, garment, India, woven silk and gold-wrapped thread, probably Varanasi, ca. 1855-1879.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/96c532b7-c39b-3520-bbfa-f8867cd74e71","http://data.silknow.org/graph/vam","garment, fine woven silk, covered with diagonal bands of floral motifs in gold-wrapped thread, and a deep end border of buta and flowers woven in gold-wrapped thread, within borders of gold-wrapped thread in a geometric design and broken stripes of red and gold-wrapped thread. With heavy fringes of gold thread and gold-wrapped thread and spangles at each end border.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/eb0fd117-e9cd-3890-b45d-ea371238e8e2","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/eb0fd117-e9cd-3890-b45d-ea371238e8e2","http://data.silknow.org/graph/vam","Scarf of red fine woven silk, the field is a decorative lattice of gold-wrapped thread, the borders have diagonal bands of gold-wrapped thread with a plant motif, the deep end borders have a diagonal pattern with zigzags above and below. Gold fringes at both ends. Complete piece.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/eb0fd117-e9cd-3890-b45d-ea371238e8e2","http://data.silknow.org/graph/vam","Textile, scarf, fine woven silk or cotton and gold-wrapped thread, India, probably Varanasi, ca. 1850","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6c6e5455-0fb9-3274-befd-485b4a88c994","http://data.silknow.org/graph/vam","The complete object would have been intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6c6e5455-0fb9-3274-befd-485b4a88c994","http://data.silknow.org/graph/vam","Garment, scarf or waistcloth, green muslin, woven with a small regular motif in gold-wrapped thread, two deep hems of a regular brocaded motif and geometric designs in gold-wrapped thread, borders of gold-wrapped thread in chevron designs, gold fringes at the end. Complete piece.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/6c6e5455-0fb9-3274-befd-485b4a88c994","http://data.silknow.org/graph/vam","Textile, brocaded silk scarf or waistcloth, Varanasi, ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/9846bd59-0b79-3096-8f09-89307e4db9ed","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/9846bd59-0b79-3096-8f09-89307e4db9ed","http://data.silknow.org/graph/vam","Textile, scarf, fine woven silk or cotton and gold-wrapped thread, India, probably Varanasi, ca. 1855-1879","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/9846bd59-0b79-3096-8f09-89307e4db9ed","http://data.silknow.org/graph/vam","Scarf of black fine woven silk or cotton, covered with diagonal bands of gold-wrapped thread in floral designs and deep hems featuring a lattice of tree-like motifs in gold-wrapped thread, surrounded by borders of a chevron design. Gold fringes at both ends. Complete piece.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/3d4dfe63-70d9-3966-9448-40ef33ab8947","http://data.silknow.org/graph/vam","Intended for use as a garment, clothing. The slip book entry indicates that the garment is intended to be worn to a purdah.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/3d4dfe63-70d9-3966-9448-40ef33ab8947","http://data.silknow.org/graph/vam","Textile, garment, striped fine woven silk or cotton and gold thread, Baharampur, ca. 1867","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/3d4dfe63-70d9-3966-9448-40ef33ab8947","http://data.silknow.org/graph/vam","Garment, probably a shawl, fine woven red textile, probably silk, woven with vertical stripes in gold thread, and a broader gold striped border with black stripes on either side. Complete piece.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/74dc327a-a160-3c13-b383-db8db716702d","http://data.silknow.org/graph/vam","Possibly intended for use as part of clothing.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/74dc327a-a160-3c13-b383-db8db716702d","http://data.silknow.org/graph/vam","Textile, silver tissue, Dhaka, ca. 1855","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/74dc327a-a160-3c13-b383-db8db716702d","http://data.silknow.org/graph/vam","Cloth of pulled silver thread, with stripes of dark red silk.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/de734ba9-f65b-3db3-8ace-e20a0a24fec3","http://data.silknow.org/graph/vam","Textile, gold thread and silk thread, Dhaka (acquired Hyderabad, Deccan), ca. 1855","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/de734ba9-f65b-3db3-8ace-e20a0a24fec3","http://data.silknow.org/graph/vam","Cloth of pulled gold thread, with stripes of dark green silk. Red silk in fringe.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/5d447d52-ee3d-3b88-b09c-6e66662402fc","http://data.silknow.org/graph/vam","Doll of Kintaro, the Wonder Child, seated of wood, coated with plaster painted in flesh-colour, it is scantily clad in a stomacher (<i>haraate</i>) of brown silk-crepe, stencilled in red and embroidered with green, white and yellow floss silks, green silk cord and gold thread. 

The head is partly shaved, as in the custom with small children in Japan; the hair is represented by three patches of black silk thread, one on the top of the head and two beside the ears, and by a wedge-shaped patch of black paint just above the forehead. The garment is cut to a point at the lower end, and covers the chest and the stomach; to the upper part of it is stitched a long band, which is tied in a bow behind; another band, tied in a bow in front, secures the garment at the waist. The stencilled pattern represents continuous scroll ornament, and the embroidery shows a design of peonies and chrysanthemums. To the front of the garment is stitched a fringed and pleated collar, woven in silver-gilt thread.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/5d447d52-ee3d-3b88-b09c-6e66662402fc","http://data.silknow.org/graph/vam","Kintaro is the infant name of the Japanese hero Sakata no Kintoki (late 10th century), and the doll is probably one made for the Boy's Festival (<i>Tango no Sekku</i>) on May 5th.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/5d447d52-ee3d-3b88-b09c-6e66662402fc","http://data.silknow.org/graph/vam","Doll of Kintaro, painted wood, silk crepe with embroidery in floss silks and gold thread, Japan, Edo period, probably early 18th century","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/703bcd43-c660-308a-aae7-3c538bcd940e","http://data.silknow.org/graph/vam","Embroidered red net coat. Medallions of flowers and a wave border; brick stitch. On the shoulders strips of embroidered linen with a conventional floral pattern have been applied. These bands are in couched gold and silver thread.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/703bcd43-c660-308a-aae7-3c538bcd940e","http://data.silknow.org/graph/vam","Robe, embroidered silk gauze, Samarkand, Uzbekistan, China, early 19th century","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/703bcd43-c660-308a-aae7-3c538bcd940e","http://data.silknow.org/graph/vam","Embroidered red net coat. Medallions of flowers and a wave border; brick stitch. On the shoulders strips of embroidered linen with a conventional floral pattern have been applied. These bands are in couched gold and silver thread.","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/703bcd43-c660-308a-aae7-3c538bcd940e","http://data.silknow.org/graph/vam","Robe, embroidered silk gauze, Samarkand, Uzbekistan, China, early 19th century","http://data.silknow.org/vocabulary/628"
"http://data.silknow.org/object/4d1c5a42-5918-3d1e-9d01-9997e81d9ed9","http://data.silknow.org/graph/vam","Wrapping cloth (fukusa) of figured silk woven with a design of peonies and scrolling vines; embroidered in coloured silks and gold-wrapped thread in long and short, laid, stem and satin stitches with couched work. The design depicts a crane above rocks and waves.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/4d1c5a42-5918-3d1e-9d01-9997e81d9ed9","http://data.silknow.org/graph/vam","In Japan, the crane is one of the most popular and auspicious motifs and often features on celebratory textiles such as this fukusa, or gift cover. Admired for its beauty, the bird is said to live for a thousand years and inhabit the land of the immortals. In folk tales, the crane sometimes features as the heroine who, disguised as a mortal, serves as a loving wife. The crane on this embroidered fukusa is shown flying low above rocks and crashing waves, the spray from the latter forming a golden arc around the bird. The energy of the scene is enhanced by the ground fabric which is woven with scrolling peonies.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/4d1c5a42-5918-3d1e-9d01-9997e81d9ed9","http://data.silknow.org/graph/vam","Wrapping cloth (fukusa) of silk embroidered with silk and gold-wrapped threads, Japan,  1800-1850","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/e990fd1a-67b6-36da-af70-91fa532dfd32","http://data.silknow.org/graph/vam","Fukusa or gift cover of blue silk satin, embroidered with gilt thread and shades of green, white, black, orange, and buff silks in couched work, satin and long and short stitches; depicting blossoming Nandina laden with snow and two small birds beneath.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/e990fd1a-67b6-36da-af70-91fa532dfd32","http://data.silknow.org/graph/vam","Fukusa or gift cover, satin-weave silk embroidered with colour silks and gilt thread, Japan, Edo period, 18th century.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/2ad513f5-7b80-3a12-bf9c-db76d86ff6df","http://data.silknow.org/graph/vam","Fukusa, blue satin silk with embroidery in coloured silk and gold-wrapped thread, Japan, 1800-1850","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/2ad513f5-7b80-3a12-bf9c-db76d86ff6df","http://data.silknow.org/graph/vam","‘The crane lives for a thousand years, and the turtle for ten thousand years’ is a well-known proverb in Japan. The turtle is therefore regarded as a symbol of longevity and the bearer of good fortune and is a popular motif on celebratory textiles. Here a very powerful-looking creature, the long trail of seaweed and algae on its back suggesting it has indeed lived for many years, decorates a fukusa, a type of textile used to cover a gift. The design is embroidered almost exclusively in gold-wrapped thread which look particularly dramatic against the dark blue ground.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/2ad513f5-7b80-3a12-bf9c-db76d86ff6df","http://data.silknow.org/graph/vam","Gift cover (<i>fukusa</i>) of blue satin with an embroidered design of a central large tortoise swimming amid turbulent waves. The <i>fukusa</i> is lined with plain weave blue silk, probably a later addition.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/30132537-0cb0-389f-99dd-ce824853fa92","http://data.silknow.org/graph/vam","Embroidered surcoat of crimson satin, c. 1850","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/30132537-0cb0-389f-99dd-ce824853fa92","http://data.silknow.org/graph/vam","Han Chinese woman's surcoat (mang'ao). Crimson silk satin weave embroidered with dragons, birds, and fish leaping out of waves. Embroidery with bright coloured floss silks in satin stitches and pekin knot stitches, with gold threads in couchured work. Right side fastening, silk loop and knot buttons. Small, stand-up collar. Wide sleeves, straight cuffs. The ornaments consist of a bordering of formal waves with fishes leaping up, on each side of a house or temple. Golden dragons (five clawed), scatterings of blue cloudlets, chimeras, flowers, &c. appear on the shoulders and back and front of the garment.","http://data.silknow.org/vocabulary/627"
"http://data.silknow.org/object/4781e77b-2318-3bc0-9ac5-9e506c82c83a","http://data.silknow.org/graph/vam","Wall hanging, silk tapestry weave (<i>kesi</i>) with gold wrapped thread details: five-clawed gold dragons against blue chasing flaming pearls on each side, while top border yellow ground with phoenixes.","http://data.silknow.org/vocabulary/627"
