"text","technique"
"Vestimenta litúrgica exterior que utiliza el sacerdote para la celebración de la misa.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Casulla de damasco berde con motivos vegetales en bordado de aplicación de un damasco bicolor. Los motivos estan perfilados por hilo metálico. La cenefa central es terciopelo verde con los motivos estampados mediante planchas metálicos, concidos como gofrados. El borde la casulla y la cenefa central con galón con galón de hilos metálico dorado y seda roja.","http://data.silknow.org/vocabulary/168"
"Fragmento de casulla de damasco verde decorado con florones enmarcados por cintas de ajedrezado y coronas. Cenefa de terciopelo verde con escudo sobrepuesto en la parte inferior.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Colcha de damasco color rojo con decoración floral. Remate de cortina del mismo tejido y decoración rematada en fleco. Dos tiras de damasco con forro de tafetán y un fragmento.","http://data.silknow.org/vocabulary/168"
"Edad Contemporánea","http://data.silknow.org/vocabulary/168"
"En color rojo, con decoración de rombos con coronas y ramos. Greca amarilla y roja. Marcando las cenefas agremán de seda azul y blanca. Forro de la época.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Casulla de damasco rojo decorada con motivos de ruedas. Las dos cenefas son de raso salmón con flores verdes y azules (la del delantero muy rosada). Galón dorado antiguo. Forro de la época con varias piezas.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Las tallas de damasco rojo de gran composición vegetal y las cenefas de delantero y espalda de damasco rojo y blanco con decoración vegetal también, de tipo distinto. Galón dorado. Forro lienzo.","http://data.silknow.org/vocabulary/168"
"Casulla de damasco color blanco con cenefas en terciopelo rojo. Reborde que remata toda la pieza también de terciopelo. Damasco con decoración floral en línea vertical ondulada. Rematado con fleco en seda roja y amarilla.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco de seda verde y amarilla. Motivo de ruedas con estilización vegetal, clásico del siglo XVI. La pieza es de confección posterior por su forma y debió ser restaurada con una cenefa de seda floreada del siglo XVIII en el delantero. En la espalda, la cenefa es de brocatel verde de ramos alternados del siglo XVII. Rematada con galón de seda antiguo.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Seda brochada verde con pequeños motivos florales distribuidos en líneas verticales con inclinación alterna. En la espalda la cenefa central es de damasco azul con motivos florales. Falta la cenefa delantera. Galón estrecho y sencillo de seda blanca. Forro de percal verde de la época.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco en colores verde y amarillo. Motivo de ruedas con estilización vegetal. Rematada con galón de plata. Forro de la época.","http://data.silknow.org/vocabulary/168"
"Casulla realizada totalmente en damasco verde y amarillo. Motivo de rombos con coronas que encierran un motivo vegetal estilizado. Rematada con fleco de seda con hilo de oro. Forro de lienzo de la época.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Edad Contemporánea","http://data.silknow.org/vocabulary/168"
"Damasco de seda verde. Composición de grandes roleos con flores, hojas y aves. La cenefa del delantero es un bordado a punto de cruz en sedas de colores sobre cañamazo siguiendo un dibujo geométrico de cintas entrelazadas formando polígonos.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Las tallas de la casulla de damasco verde con motivo de ramos estilizados de flor granada y dos hojas dispuestas en hileras. La cenefa del delantero es de brocatel  verde y amarillo con motivos vegetales estilizados dispuestos a candelieri en torno al jarrón florido. Rodeada de estrecho fleco verde, blanco y amarillo. Falta la cenefa de la espalda. Forro de lienzo de la época.","http://data.silknow.org/vocabulary/168"
"Tallas de damasco verde. Tema de florones estilizados entre cintas con coronas. Las cenefas de delantero y espalda de damasco azul y amarillo de tema de cintas con florones. Rematada con fleco estrecho de seda amarilla y galón de seda y oro.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Las tallas de damasco blanco con decoración de grandes motivos, florones y hojarascas. Las cenefas de brocatel rojo con blanco en el fondo con motivos vegetales en gran composición. Forro de lienzo. Le falta el galón de remate.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"De damasco blanco con motivo de ramos con granada, sueltos y enfilados, con inclinación alterna en cada fila. La cenefa de delantero y espada de brocatel rojo, con amarillo y blanco. Motivo de florones con coronas. Forro de lienzo antiguo.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco gris con grandes temas vegetales. Galón dorado. Forro de lienzo.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco color blanco, con motivo de grandes florones y hojas en composición continuada con eje de simetría. Galán de seda amarillo. Forro de lienzo.","http://data.silknow.org/vocabulary/168"
"Casulla formada por doce fragmentos de tejido. Sobre un fondo rosa de damasco decorado con motivos vegetales, discurre una decoración de motivos vegetales y florales de carácter fantástico realizada en seda de distintos colores e hilo metálico. Conserva el galón original, muy interesante, de hilo metálico plateado. Está forrada y no es posible apreciar el reverso del tejido, por lo que desconocemos si tiene orillos o cuál es el ancho del telar. El ""rapport"" de la decoración es de 58 cm. de altura por 27 cm. anchura.  
El tejido de la casulla es muy similar al del manípulo con núm. inv. 6343, pero debido a las diferencias que presenta en la decoración y en la técnica podemos concluir que proceden de ornamentos litúrgicos distintos.  
Esta pieza la vio Dra. Lesley Miller, conservadora de tejidos del Victoria & Albert Museum en marzo de 2006 (24 de marzo), es un tejido que pertenece a las sedas ""bizarres"" del primer tercio del siglo XVIII. Comenta que la casulla podría ser original y no haber sufrido ninguna transformación desde su fabricación, incluido el galón de plata.   
  
Ligamentos:  
-Damasco rosa realizado en raso de 3 por urdimbre brillo y tafetán mate [base]  
-Tramas espolinadas de seda en color blanco -seda en su color-, marrón claro, verde, azul claro, azul oscuro, amarillo [decoración]  
-Tramas espolinadas dobles de hilo metálico plateado muy fino arrollado a alma de seda [decoración]  
-Briscado [decoración]","http://data.silknow.org/vocabulary/168"
"Por las características que presenta a nivel técnico y decorativo, se puede incluir en la serie de tejidos ""bizarros"". El término ""sedas bizarras"" hace referencia a los tejidos fabricados en Europa entre 1695 y 1720 que presentan una decoración compuesta por elementos fantásticos combinados con motivos exóticos, y que en ocasiones por su gran complejidad son casi indescriptibles. Los diseños, completamente originales respecto a las fórmulas compositivas utilizadas hasta entonces en las producciones europeas, se realizaban en su mayoría con una particular solución técnica consistente en combinar en el fondo el efecto lúcido-opaco del damasco, con decoraciones realizadas en hilo metálico dorado y plateado. Si bien la técnica no era nueva, en los tejidos bizarros se renovó al crear un doble plano de profundidad con la superposición de dos diseños diversos sólo en parte correlativos: uno de fondo obtenido a través del contraste de los efectos brillo-mate del damasco, y otro realizado con las tramas decorativas, con cuya combinación se buscaba conseguir distintos planos de profundidad. Además, en este tipo de tejido el uso de hilos metálicos dorados y plateados cambiaron en cierto sentido la idea tradicional de los tejidos ricos, evidenciando no tanto la cualidad de la materia, como la fineza técnica de su elaboración, y la fascinación misteriosa de su ornamentación. La renovación decorativa también implicó cambios en la gama cromática y en su combinación. Si el rojo se mantiene como el pigmento más valorado, que además estaba disponible en infinitos tonos, que iban del fucsia al coral y al rosa más tenue, los azules recuerdan a la porcelana y se empolvan, los amarillos se llenan de esfumaturas naranjas, y los verdes asumen tonos esmaltados. Los tejidos ""bizarros"" presentan una estructura decorativa en el interior de la cual generalmente es reconocible la distribución ordenada en filas, con los motivos contrapeados orientados a izquierda y derecha con un desarrollo vertical ondulado, en algunas ocasiones difícil de individualizar por la enorme riqueza de detalles. De hecho, las formas fantásticas, exóticas, geométricas o vagamente naturalistas, están dispuestas de manera libre, pero sobre todo adquieren dimensiones insólitas, aumentando notablemente la altura del ""rapport"". A la ambigüedad de las formas insólitas de la decoración principal hay que añadir la percepción del damasco, inquietante y nunca completo, visto y oculto por la incidencia de la luz sobre el tejido. A la hora de componer la decoración, los diseñadores también tenían en cuenta este factor estético que dependía del movimiento, por lo que en su mayoría estos tejidos estaban destinados a la indumentaria. La producción de estas telas fue característica de las manufacturas francesas, que inicialmente basaron sus diseños en los dibujos del arquitecto-decorador Daniel Marot, pero son también de gran calidad las producciones de centros italianos, como Venecia, Mesina o Palermo, que incorporaron las novedades decorativas y donde los tejidos se pueden reconocer también por algunas características técnicas. En el caso concreto de este tejido, por la combinación en la decoración de flores seminaturalistas con formas abstractas de carácter geométrico tejidas en hilo metálico, se puede datar entre 1712 y 1720.","http://data.silknow.org/vocabulary/168"
"Época Luis XIV   Edad Moderna   Barroco","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Hecha de damasco morado. Decorada con motivo de rombos con coronas y estilización vegetal en ramos. La cenefa es de brocatel morado sobre amarillo. Decorada con motivos de granadas estilizadas con orla de tallos entrelazados. Cinta de galón de seda color crema posterior. Forro de lienzo de la época.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco carmesí, con decoración de grandes temas vegetales. Galón dorado posterior. Forro lienzo.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Las tallas son de seda raso azul con motivos pequeños en plata dorada, sueltos y enfilados con inclinación alterna. La cenefa del delantero es de terciopelo rojo y la de la espalda es de damasco azul. Galón metálico.","http://data.silknow.org/vocabulary/168"
"Realizado con dos tapas forradas una de damasco rojo y otra de damasco verde. Interior de lana con un motivo menudo, una en rojo  y otra en azul.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Buena traducción española del estilo Regencia francés.  
Junquera, J.J.Salón y corte.Doménico Scarlatti en España, catálogo 57, página 432.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Silla de madera tallada y barnizada. Posee patas ligeramente cabriolé. Gran sobriedad en su decoración, con dos molduras, una en el respaldo y otra en el faldón delantero el asiento.  Ambas a sus lados con hojas.","http://data.silknow.org/vocabulary/168"
"Silla de madera tallada y barnizada. Posee patas ligeramente cabriolé. Gran sobriedad en su decoración, con dos molduras, una en el respaldo y otra en el faldón delantero el asiento.  Ambas a sus lados con hojas.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Buena traducción española del estilo Regencia francés.  
Junquera, J.J.Salón y corte.Doménico Scarlatti en España, catálogo 57, página 432.","http://data.silknow.org/vocabulary/168"
"Buena traducción española del estilo Regencia francés.  
Junquera, J.J.Salón y corte.Doménico Scarlatti en España, catálogo 57, página 432.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Silla de madera tallada y barnizada. Posee patas ligeramente cabriolé. Gran sobriedad en su decoración, con dos molduras, una en el respaldo y otra en el faldón delantero el asiento.  Ambas a sus lados con hojas.","http://data.silknow.org/vocabulary/168"
"Silla de madera tallada y barnizada. Posee patas ligeramente cabriolé. Gran sobriedad en su decoración, con dos molduras, una en el respaldo y otra en el faldón delantero el asiento.  Ambas a sus lados con hojas.","http://data.silknow.org/vocabulary/168"
"Buena traducción española del estilo Regencia francés.  
Junquera, J.J.Salón y corte.Doménico Scarlatti en España, catálogo 57, página 432.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco rojo y blanco con decoración de grandes motivos vegetales. Forro de lienzo. Faltan galones o fleco de remate.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Seda roja brochada con florón y hojas en plata en grandes motivos. Galón seda amarillo y plata. Conserva el cordón con fijador y la borla en seda amarilla y plata.","http://data.silknow.org/vocabulary/168"
"Época Luis XIV   Edad Moderna   Barroco","http://data.silknow.org/vocabulary/168"
"Las características técnicas y decorativas que presenta la pieza, permiten incluirlo dentro del grupo de tejidos bizarros. El término ""sedas bizarras"" hace referencia a los tejidos fabricados en Europa entre 1695 y 1720 que presentan una decoración compuesta por elementos fantásticos combinados con motivos exóticos, y que en ocasiones por su gran complejidad son casi indescriptibles. Los diseños, completamente originales respecto a las fórmulas compositivas utilizadas hasta entonces en las producciones europeas, se realizaban en su mayoría con una particular solución técnica consistente en combinar en el fondo el efecto lúcido-opaco del damasco, con decoraciones realizadas en hilo metálico dorado y plateado. Si bien la técnica no era nueva, en los tejidos bizarros se renovó al crear un doble plano de profundidad con la superposición de dos diseños diversos sólo en parte correlativos: uno de fondo obtenido a través del contraste de los efectos brillo-mate del damasco, y otro realizado con las tramas decorativas, con cuya combinación se buscaba conseguir distintos planos de profundidad. Además, en este tipo de tejido el uso de hilos metálicos dorados y plateados cambiaron en cierto sentido la idea tradicional de los tejidos ricos, evidenciando no tanto la cualidad de la materia, como la fineza técnica de su elaboración, y la fascinación misteriosa de su ornamentación. La renovación decorativa también implicó cambios en la gama cromática y en su combinación. Si el rojo se mantiene como el pigmento más valorado, que además estaba disponible en infinitos tonos, que iban del fucsia al coral y al rosa más tenue, los azules recuerdan a la porcelana y se empolvan, los amarillos se llenan de esfumaturas naranjas, y los verdes asumen tonos esmaltados. Los tejidos ""bizarros"" presentan una estructura decorativa en el interior de la cual generalmente es reconocible la distribución ordenada en filas, con los motivos contrapeados orientados a izquierda y derecha con un desarrollo vertical ondulado, en algunas ocasiones difícil de individualizar por la enorme riqueza de detalles. De hecho, las formas fantásticas, exóticas, geométricas o vagamente naturalistas, están dispuestas de manera libre, pero sobre todo adquieren dimensiones insólitas, aumentando notablemente la altura del ""rapport"". A la ambigüedad de las formas insólitas de la decoración principal hay que añadir la percepción del damasco, inquietante y nunca completo, visto y oculto por la incidencia de la luz sobre el tejido. A la hora de componer la decoración, los diseñadores también tenían en cuenta este factor estético que dependía del movimiento, por lo que en su mayoría estos tejidos estaban destinados a la indumentaria. La producción de estas telas fue característica de las manufacturas francesas, que inicialmente basaron sus diseños en los dibujos del arquitecto-decorador Daniel Marot, pero son también de gran calidad las producciones de centros italianos, como Venecia, Mesina o Palermo, que incorporaron las novedades decorativas y donde los tejidos se pueden reconocer también por algunas características técnicas. Por el esquematismo que presenta la decoración y su ordenación en franjas, puede datarse a finales del siglo XVII.","http://data.silknow.org/vocabulary/168"
"Collarino de seda verde formado por un único fragmento. Sobre un fondo de damasco verde decorado con motivos vegetales y florales, se dispone una decoración organizada en franjas horizontales en las que alternan una banda con motivos de tallos del que salen cuatro flores esquemáticas realizadas en hilo metálico, y en el siguiente registro aves idénticas realizadas en distintos colores, también de carácter esquemático. Las dimensiones de la pieza impiden conocer las dimensiones del ""rapport"" y el ancho de telar. Carece de orillos. Está rematado en todo el contorno por un galón y flecos en colores blanco, verde, rosa y amarillo. El reverso conserva un forro rosa y dos pequeñas abrazaderas para sostener el collarino en la casulla.  
  
Ligamentos:  
-damasco formado por raso de 5 por urdimbre [brillo] y gro [mate] [base]  
-tramas espolinadas en seda de distintos colores [decoración]  
-briscado, creando un efecto muy ligero debido a la poca densidad del hilo metálico [decoración]","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
"Damasco de seda bicolor en salmón y blanco. Decoración de grandes motivos vegetales. Forro de lienzo. Faltan galones o fleco de remate.","http://data.silknow.org/vocabulary/168"
"Manípulo de color rosa con decoración vegetal y floral espolinada. Sobre un fondo rosa de damasco decorado con motivos vegetales discurre una decoración de motivos vegetales y florales de carácter fantástico realizada en seda de distintos colores e hilo metálico. En los extremos laterales conserva un remate de galón de plata probablemente original, en buen estado de conservación. El reverso conserva un forro de tafetán azul de seda. Carece de orillos. Las dimensiones de la pieza impiden conocer el tamaño del ""rapport"". El tejido es muy similar al de la casulla CE04778, aunque seguramente proceden de ornamentos litúrgicos distintos.  
  
Ligamentos:  
-Damasco formado por raso de 3 por urdimbre [brillo] y tafetán [mate] [base]  
-Siete tramas espolinadas que ligan en sarga de color verde claro, verde oscuro, amarillo, azul, blanco -seda en su color-, morado y malva [decoración]  
-Tramas dobles de hilo metálico plateado arrollado a alma de seda que ligan en sarga [decoración]","http://data.silknow.org/vocabulary/168"
"Por las características que presenta a nivel técnico y decorativo se puede incluir en la serie de tejidos ""bizarros"". El término ""sedas bizarras"" hace referencia a los tejidos fabricados en Europa entre 1695 y 1720 que presentan una decoración compuesta por elementos fantásticos combinados con motivos exóticos, y que en ocasiones por su gran complejidad son casi indescriptibles. Los diseños, completamente originales respecto a las fórmulas compositivas utilizadas hasta entonces en las producciones europeas, se realizaban en su mayoría con una particular solución técnica consistente en combinar en el fondo el efecto lúcido-opaco del damasco, con decoraciones realizadas en hilo metálico dorado y plateado. Si bien la técnica no era nueva, en los tejidos bizarros se renovó al crear un doble plano de profundidad con la superposición de dos diseños diversos sólo en parte correlativos: uno de fondo obtenido a través del contraste de los efectos brillo-mate del damasco, y otro realizado con las tramas decorativas, con cuya combinación se buscaba conseguir distintos planos de profundidad. Además, en este tipo de tejido el uso de hilos metálicos dorados y plateados cambiaron en cierto sentido la idea tradicional de los tejidos ricos, evidenciando no tanto la cualidad de la materia, como la fineza técnica de su elaboración, y la fascinación misteriosa de su ornamentación. La renovación decorativa también implicó cambios en la gama cromática y en su combinación. Si el rojo se mantiene como el pigmento más valorado, que además estaba disponible en infinitos tonos, que iban del fucsia al coral y al rosa más tenue, los azules recuerdan a la porcelana y se empolvan, los amarillos se llenan de esfumaturas naranjas, y los verdes asumen tonos esmaltados. Los tejidos ""bizarros"" presentan una estructura decorativa en el interior de la cual generalmente es reconocible la distribución ordenada en filas, con los motivos contrapeados orientados a izquierda y derecha con un desarrollo vertical ondulado, en algunas ocasiones difícil de individualizar por la enorme riqueza de detalles. De hecho, las formas fantásticas, exóticas, geométricas o vagamente naturalistas, están dispuestas de manera libre, pero sobre todo adquieren dimensiones insólitas, aumentando notablemente la altura del ""rapport"". A la ambigüedad de las formas insólitas de la decoración principal hay que añadir la percepción del damasco, inquietante y nunca completo, visto y oculto por la incidencia de la luz sobre el tejido. A la hora de componer la decoración, los diseñadores también tenían en cuenta este factor estético que dependía del movimiento, por lo que en su mayoría estos tejidos estaban destinados a la indumentaria. La producción de estas telas fue característica de las manufacturas francesas, que inicialmente basaron sus diseños en los dibujos del arquitecto-decorador Daniel Marot, pero son también de gran calidad las producciones de centros italianos, como Venecia, Mesina o Palermo, que incorporaron las novedades decorativas y donde los tejidos se pueden reconocer también por algunas características técnicas. Por el carácter casi naturalista de los motivos que componen la decoración puede datarse entre 1710 y 1720.  
  
Esta pieza corresponde a la antigua ficha 3497 que describe: ""Un manípulo"". Esta ficha escrita a máquina está fechada en la década de 1930, y corresponde al periodo en el que Luis Pérez Bueno fue director del museo. El objeto procede de la colección personal de Luis Pérez Bueno.","http://data.silknow.org/vocabulary/168"
"Barroco   Época Luis XIV   Edad Moderna","http://data.silknow.org/vocabulary/168"
"Manípulo de seda brocada con dos caras, por un lado de damasco morado y por otro de groguen de seda verde con motivo de rombo en seda amarilla e hilo metálico. Rematado por ambos lados con galón ancho de seda amarilla y cordón fijador con borla.","http://data.silknow.org/vocabulary/168"
"Edad Moderna","http://data.silknow.org/vocabulary/168"
