"text","visual_item"
"Mantón cuadrangular de seda en blanco, decoración bordada en negro con flores de distintos tamaños y rodeado por una cenefa en negro. Motivos repetidos en cuadrantes. Fleco blanco.","http://data.silknow.org/vocabulary/743"
"Dinastía Qing","http://data.silknow.org/vocabulary/743"
"Cuatro colgantes: dos bolsas de tabaco con forma de venera en seda bordada con motivos florales y dos bolsas de abanico de forma alargada en seda de color naranja con aplicaciones textiles formando motivos florales. Las sujeciones del cinturón están formadas por cordoncillos de color beige con cuentas azules intercaladas. La hebilla del cinturón es de metal dorado de forma elipsoidal con decoración floral y restos de esmalte azul.","http://data.silknow.org/vocabulary/743"
"Dinastía Qing","http://data.silknow.org/vocabulary/743"
"Zapatos para una niña con pies vendados, que deformaban su crecimiento. Los pies pequeños eran señal de alto estatus en la sociedad china, y al mismo tiempo condicionaban andar con pasos muy pequeños, lo que se consideraba atractivo.","http://data.silknow.org/vocabulary/743"
"Zapato del pie derecho, de raso azul celeste, con bordado al pasado en hilos de seda verde, amarillo y rosa claro, con motivos florales. Abierto por delante y forrado en lienzo blanco. En el borde lleva una primera cenefa en negro, otra de hilos de plata y una tercera en verde con un pequeño tacón de tafetán blanco bordado con flores estilizadas en azul, suela de lienzo blanco y punta de seda azul clara.","http://data.silknow.org/vocabulary/743"
"Dinastía Qing","http://data.silknow.org/vocabulary/743"
"Zapato del pie izquierdo, de raso azul celeste, con bordado al pasado en hilos de seda verde, amarillo y rosa claro, con motivos florales. Abierto por delante y forrado en lienzo blanco. En el borde lleva una primera cenefa en negro, otra de hilos de plata y una tercera en verde con un pequeño tacón de tafetán blanco bordado con flores estilizadas en azul, suela de lienzo blanco y punta de seda azul clara.","http://data.silknow.org/vocabulary/743"
"Zapatos para una niña con pies vendados, que deformaban su crecimiento. Los pies pequeños eran señal de alto estatus en la sociedad china, y al mismo tiempo condicionaban andar con pasos muy pequeños, lo que se consideraba atractivo.","http://data.silknow.org/vocabulary/743"
"Abanico de baraja.  
  
Varillaje: 16 varillas + 2 guardas (más gruesas) de marfil pìntadas a la aguada en tonos pasteles (propios del modernismo), y  unidas en la parte superior por una cinta de  tafetán de seda en su color.   
Clavillo: rematado con un botón de marfil sobre anilla l con doble curva, de la que pende un doble  cordón de seda  en su color, abrazadera de cordón trenzado y al final una borla con trabajo de pasamanería, también de seda en su color, de la que penden hilos de seda.  
  
Cara: decoración floral; dos ramilletes de flores: el de la izquierda  compuesto por flores   
rosas  rosa abiertas, capullos y hojas  y el del centro-derecha con margaritas,  sobre trece varillas. El resto de las varillas  y las guardas sin decoración.  
Revés: sin decoración.","http://data.silknow.org/vocabulary/743"
"Modernismo   Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"Al igual que el abanico con nº de  inv 17470, está realizado en Austria, por su decoración, por el trabajo de pasamanería. La anilla que en Japón suele ser de plata aquí  es de marfil.  
Es importante porque conserva la abrazadera.  
  
Bbliiografía comparada:   
ARNSTRONG, Nancy: The Book of the Fans. London, Colour Library International, 1978, p. 119.  
-FILIPPINI SACHETTO, Amalia; TESTONI SASSI, Lidia: Un soffio di vanità. Ventagli da collezione private italiane, Padova, De Luca Edizioni d´Arte, 1989, p. 113, nº 104  
-RODRIGO ZARZOSA, Carmen. Colección de abanicos en el Museo Nacional de Cerámica. Catálogo - Exposición. Madrid, Ministerio de Educación y Cultura, 2000, p. 141, nº 75.  
-VOLET, Maryse; BEENTJES, Annette: Éventails, Collection du Musée d´ art et d´ histoire de Genéve. Genéve.  Editions Clairfontaine, 1987, p. 144, nº 110.","http://data.silknow.org/vocabulary/743"
"Abanico de baraja.  
Aunque muchos abanicos de este tipo se hicieron en otros países, como Austria o Alemania, éste, como el nº 135 del Museo de Lugo, puede estar hecho en Valencia.  
  
Bibliografía comparada:  
-VOLET, Maryse, BEENTJES, Annette: Éventails, Collection du Musée d´ art et d´ histoire de Genéve. Genéve, Slatkine, 1987, p. 146, nº 117.  
-Aleteos, Colección de abanos do Museo Provincial de Lugo.Lugo. Diputación Provincial de Lugo, 2002, p. 179,  nº. 135.","http://data.silknow.org/vocabulary/743"
"Edad Contemporánea","http://data.silknow.org/vocabulary/743"
"Abanico de baraja.   
Varillaje: 17 varillas + 2 guardas, de hueso, grabados, tallados, calados y con doble "" grillé"", terminados en forma de uña con pequeños redondeles grabados y calados que se repiten un poco más abajo formando un pequeño medallón ovalado y vertical por donde pasa la cinta de que une el varillaje. El grillé hace que parezca más un abanico de encaje que de hueso.  
Tres grandes guirnaldas rematadas, por esta especie de bodoques y rellenas con una decoración perlada y decoran el centro del abanico de izquierda a derecha. La guarda que cierra, mucho más trabajada que la que abre tiene unas decoraciones vegetales, con bellotas talladas y recortadas.   
Clavillo de metal rematado con un botón de hueso.","http://data.silknow.org/vocabulary/743"
"Edad Contemporánea [Época alfonsina]","http://data.silknow.org/vocabulary/743"
"Abanico plegable.  
  
País: doble de tafetán de seda en su color, pintada a la aguada y con oro.  
Varillaje: 14 varillas + 2  guardas de nácar ""goldfish"",lisas y sin decoración.  
Clavillo: remachado con vidrio imitando diamante, engastado a la antigua y anilla de latón trilobulada y calada, de la que pende un doble cordón de hilos de seda de color melado con borla con trabajo de pasamanería, de la que penden hilos de seda y metálicos entorchados (30 cm.)  
  
Cara: decoración vegetal. En el centro un gran ramillete de flores diversas, capullos...y hojas con toques de oro. El resto sin decoración.   
Revés: anagrama central con las letras A y N entrelazadas, pintadas a la aguada (blanco, azul, negro, rojo...) y con oro. El resto sin decoración.  
  
Fuente y guardas: sin decoración.  
  
 País doble de seda en su color. La cara liluminada al gouache y prupurina dorada con un ramillete central. Revés con gran anagrama al gouache y purpurina de dos letras mayúsculas entrelazadas a y n. Clavillo de metal rematado por vidrio tallado. Anilla trilobulada calada pende cordón y borla.","http://data.silknow.org/vocabulary/743"
"Abanico alfonsino  
  
Bibliografía comparada:  
-Aleteos, Colección de abanos do Museo Provincial de Lugo .Lugo. Diputación Provincial de Lugo, 2002, p. 88, nº 53.  
-FÄCHER.  Kunst und Mode aus fünf Jahrhunderten. München,  Hirmer Verlag. [Exposición celebrada en Alemania del 26 de junio al 4 de octubre de 1987, organizada por Herausgegeben vom Bayerischen Nationalmuseum] 1987, p. 199, nº 88.  
-MERINO DE CÁCERES, Maruja: ""Alfonsino Fans in Madrid´s Nacional Museum of Decorative Arts"" en  FANS, The Bulletin of The Fan Circle International. 2006, nº 82, pp. 10-14.  
-RODRIGO ZARZOSA, Carmen. Colección de abanicos en el Museo Nacional de Cerámica. Catálogo - Exposición. Madrid, Ministerio de Educación y Cultura, 2000, p.117, nº 47.   
-VOLET, Maryse; BEENTJES, Annette: Éventails, Collection du Musée d´ art et d´ histoire de Genéve. Genéve.  Editions Clairfontaine, 1987, p. 142, nº 104.","http://data.silknow.org/vocabulary/743"
"Abanico tipicamente modernista por la decoración , los tonos, la forma serpenteante....  
Se denomina varillaje a la sultana a las varillas que aparecen encima del país.  
  
  
Bibliografía comparada:   
-ARMSTRONG, Nancy: Fans, London, Souvenir Press, 1984, p.128, lam. XXIX.  
-BENNETT, Anna G. : Unfolding Beauty. The Art Of The Fan. Boston, Thames and Hudson, 1988, p. 253, nº 1976.261.  
-RODRIGO ZARZOSA, Carmen. Colección de abanicos en el Museo Nacional de Cerámica. Catálogo - Exposición. Madrid, Ministerio de Educación y Cultura, 2000, pp.149- 151, nº 86, 87, y 88.","http://data.silknow.org/vocabulary/743"
"Edad Contemporánea [Época modernista]","http://data.silknow.org/vocabulary/743"
"Abanico plegable.  
  
País: simple de tafetán de seda en su color, pintado a la aguada, (en tonos pasteles propios de la época), con oro y  lentejuelas de colores cosidas.  
Varillaje: 9 varillas (a la sultana) + 2 guardas, de madera (posiblemente de frutal), caladas,grabadas, pintadas a la aguada y con oro.  
Clavillo: remachado sobre virola y anilla de latón.  
  
Cara: decoración vegetal de forma alterna:  flores rosas, en tonos pasteles (propios de la época),  separadas por las varillas a la sultana, estas con las mismas flores rosas, dorado y azul verdoso, separan la decoración vegetal dorada con lentejuelas doradas. Las guardas son iguales a las varillas a la sultana.  
Revés: sin decoración.  
  
Fuente: sepenteante (propio de la época modernista), con las mismas flores que las de la parte superior del país.  
Revés: sin decoración.  
Guardas: la misma decoración que las varillas del país.","http://data.silknow.org/vocabulary/743"
"Abanico plegable.  
   
País:  doble de raso de seda en su color sobre papel. Cara; bordado a matiz cortado (estilo mantones de Manila). Revés; pintado a la aguada.  
Varillaje: 6 varillas + 2  guardas de materia sintética, imitando carey, sin decoración.  Clavillo: remachado sobre virola de nácar y anilla de latón.  
  
Cara: decoración floral con pájaros; un gran ramillete de flores diversas, en colores vivos, a la derecha sobre una rama de flores más menudas una pareja de pájaros con las colas muy  largas. Los extremos carecen de decoración. Revés: decoración floral con pájaros e insecto, parecida a la cara, pintado a la aguada en tonos vivos.  
  
Fuente: de forma abalautrada sin decoración.  
Guardas: perfiles abalaustrados, sin decoración.","http://data.silknow.org/vocabulary/743"
"Abanico chino para la exportación.  
La decoración recuerda a la de los mantones de Manila.  
  
Bibliografía comparada:   
-Aleteos, Colección de abanos do Museo Provincial de Lugo .Lugo. Diputación Provincial de Lugo, 2002, p.39, nº 6.  
- Catálogo-Exposición :  ""Chine- Chinoiserie en Château de Maison"", Cercle de l´Eventail, París, 27-X- 2005 al  15- I - 2006, p. 83. (la temática es parecida).  
-CHECCOLI, Anna: Ventagli cinesi giapponesi ed orientali. Firenze, Edizioni Tassinari, 2009, p. 81 ;  p. 87.  
- MERINO DE CÁCERES, Maruja: Orientals fans in the National Museum of Decorative Arts in Madrid. En: FANS, The Bulletin of Fan Circle International. Londres, 2007, nº 85 pp. 22-29.  
-RODRIGO ZARZOSA, Carmen. Colección de abanicos en el Museo Nacional de Cerámica. Catálogo - Exposición. Madrid, Ministerio de Educación y Cultura, 2000, p. 156, nº 96.  
-VOLET, Maryse; BEENTJES, Annette: Éventails, Collection du Musée d´ art et d´ histoire de Genéve. Genéve.  Editions Clairfontaine, 1987, p. 152, nº 141-142.  
  
   
  
  
  
  
  
  
  
  
  
VOLET, Maryse; BEENTJES, Annette: Éventails, Géneve, 1987, editions Clairfontaine","http://data.silknow.org/vocabulary/743"
"Edad Contemporánea [Dinastía Qing 1644 - 1911]","http://data.silknow.org/vocabulary/743"
"Bibliografía comparada:   
-Aleteos, Colección de abanos do Museo Provincial de Lugo. Lugo, Diputación Provincial de Lugo, 2002, p.88, nº 53.  
-FILIPPINI SACHETTO, Amalia; TESTONI SASSI, Lidia: Un soffio di vanità. Ventagli da collezione private italiane. Roma,  De Luca Edizioni d´Arte, 1989, p.123, nº128.  
-RODRIGO ZARZOSA, Carmen:""Colección de abanicos en el Museo Nacional de Cerámica"". Catálogo - Exposición. Madrid, Ministerio de Educación y Cultura, 2000, p. 119, nº 49.","http://data.silknow.org/vocabulary/743"
"Edad Contemporánea   Modernismo","http://data.silknow.org/vocabulary/743"
"Abanico plegable de amplio vuelo ""pericón"".   
  
País: doble de tafetán de seda en su color, pintado a la aguada (el hilo de la trama es más retorcido que el de la urdimbre en la cara).   
Varillaje: 16 varillas + 2 guardas, de nácar, liso y sin decoración (asalmonado por el desteñido).   
Clavillo: rematado por vidrio imitando diamante, engastado a la antigua con garras y una anilla trilobulada de latón.  
  
Cara: decoración floral a base de diversas flores y con tonos muy fuertes que ocupan casi su totalidad. A la derecha la firma: H.Bach.   
Revés: sin decoración.  
  
Fuente: sindecoración. Las varillas terminan en su parte inferior en forma polilobulada.","http://data.silknow.org/vocabulary/743"
"Por sus características técnicas y decorativas se puede incluir en el grupo de tejidos naturalistas. Los tejidos con este tipo datan del segundo cuarto del siglo XVIII y eran utilizados generalmente para la indumentaria. Son una muestra del gusto naturalista que, irradiando desde Francia, marcó las producciones textiles europeas desde 1730 a 1750. Se caracterizan por estar decorados con motivos florales y vegetales en los que se ha tratado de plasmar la variedad cromática, la armonía y las diferentes texturas de la naturaleza, en un intento de representar los motivos florales y vegetales del modo más realista posible, aunque en numerosas ocasiones se trate de formas inventadas, mezcla de varias especies, utilizando una gran riqueza de colorido y un ""rapport"" de grandes dimensiones. Las sedas tejidas, en competición con los bordados, se convirtieron en un muestrario inagotable de composiciones, donde las flores se disponen libremente sobre la superficie, o bien lo hacían recogidas en bouquets o entrelazados con cintas. Además, en las decoraciones de este tipo de tejidos también se solían incluir motivos frutales, animales o representaciones de carácter arquitectónico. Las características que definen a los tejidos naturalistas no se ciñen sólo al repertorio decorativo, sino que también se definen por el uso de procesos técnicos para conseguir la esfumatura cromática -que hasta entonces sólo se podía conseguir en los bordados- y el efecto tridimensional de los motivos a través del uso de las gradaciones del mismo color por trama (""point rentré""). Una de las características que los definen es la escala utilizada para representar los motivos de la naturaleza, que en la decoración de las sedas frecuentemente no son realistas. La mera presencia de flores en los diseños no es suficiente para identificar estilísticamente como tejidos ""naturalistas"", y la distinción decisiva entre los tejidos naturalistas de las década de 1730 y 1740 y otros tipos de modelos consiste más bien no tanto en la elección de los motivos como en el estilo en que se han representado. La mayoría fueron realizadas en Francia, principalmente en los talleres de Lyon, aunque el resto de manufacturas europeas trataron de imitarlas, por lo que resulta muy difícil identificar los lugares de producción, salvo que se hayan conservado las ""puestas en carta"". En el caso concreto de este tejido, en el que algunos efectos se han conseguido con el uso de la chenilla, muy frecuente en los tejidos naturalistas, el uso del color morado para el fondo y de tonos apagados para la decoración floral, es posible que proceda de una manufactura de Tours.","http://data.silknow.org/vocabulary/743"
"Edad Moderna","http://data.silknow.org/vocabulary/743"
"Fragmento de tejido de forma trapezoidal compuesto por una única pieza, que presenta un doblez en los laterales (el ancho de la pieza con los dobleces extendidos es de 24.7 cm). Sobre fondo morado, discurre una decoración de carácter vegetal y floral realizada en seda de distintos colores e hilo metálico. Carece de orillos. Las dimensiones de la pieza impiden conocer el ""rapport"" y el ancho de telar.  
  
Ligamentos:  
-Raso de 3 por urdimbre para el fondo morado  
-Tramas liseré de hilo metálico plateado arrollado a alma de seda verde, y seda verde, que ligan en sarga para hacer las hojas  
-Tramas espolinadas de hilo metálico plateado muy torsionado arrollado a alma de seda blanca, y seda blanca, rosa y morada para las flores  
-Chenilla para el interior de las flores","http://data.silknow.org/vocabulary/743"
"Tejido de época de Luis XV. Se observa una evolución que preconiza el Rococó, las bandas verticales se hacen oblicuas similares a meandros y los motivos se aligeran. Se aprecia un abandono del  naturalismo ya que la decoración floral es más fantástica con rocallas y cuernos de la abundancia sin embargo los matices de color en los motivos de las hojas es similar al conseguido en la década del pleno naturalismo hacia (1740-1770).","http://data.silknow.org/vocabulary/743"
"Sobre fondo de seda blanco, acanalado, en el que está el dibujo a base de cintas ondulantes en diagonal sobretejido con hilos de plata. Los motivos decorativos en tonos verde, marrón y amarillo. Dos orillos y ligamento de tafetán en blanco y negro. Tres caminos.","http://data.silknow.org/vocabulary/743"
"Luis XV, Rey de Francia","http://data.silknow.org/vocabulary/743"
"Fragmento textil, con la ornamentación distribuída en bandas horizontales de raso color crema y realizada con bastas largas de trama suplementaria que cambia dando lugar por el revés a bandas de distintos colores: marrón,  verde, amarillo y azul. El fondo es de tafetán  de  color azul con terminación moaré.","http://data.silknow.org/vocabulary/743"
"Edad Contemporánea   Edad Moderna","http://data.silknow.org/vocabulary/743"
"Edad Moderna","http://data.silknow.org/vocabulary/743"
"Dos fragmentos textiles. Bordado sobre tejido de color azul. Son dos fragmentos iguales cosidos a repulgo. La decoración de motivos florales con movimiento ascendente y un motivo similar a una rocalla. Hilos de seda lasa de diversos tonos verdes, rojizos y morados y punto de matiz. Hilos y láminas de plata tendidos y en relieve. Con lentejuelas.","http://data.silknow.org/vocabulary/743"
"Edad Moderna","http://data.silknow.org/vocabulary/743"
